Focus ID; Focus Name; Focus Description; Notes
SKY_Give_Ohio_citizens_citizenship;Give Ohio Citizens Citizenship;;Empty description (localization key exists);
SKY_Establish_the_Royal_College;Establish the Royal College;;Empty description (localization key exists);
SKY_all_must_serve;All Must Serve;;Empty description (localization key exists);
SKY_victory_over_ohio;Victory over Ohio;;Empty description (localization key exists);
SKY_Kentuky_Militarism;Kentucky Militarism;;Empty description (localization key exists);
SKY_trial_of_happy;Trial of Happy;;Empty description (localization key exists);
SKY_Seeking_New_Horzions;Seeking New Horzions;;Empty description (localization key exists);
SKY_General_Law_reforms;General Law Reforms;;Empty description (localization key exists);
SKY_Invest_in_the_Kentuky_Airforce;Invest in the Kentucky Airforce;;Empty description (localization key exists);
SKY_Ask_to_join_democratic_leauge;Ask to Join Democratic League;;Empty description (localization key exists);
SKY_Ohio_at_our_gates;Ohio at our gates;;Empty description (localization key exists);
SKY_Our_Lessons_From_war;Our Lessons From War;;Empty description (localization key exists);
SKY_Radar_Kentucky;Kentucky Radar;;Empty description (localization key exists);
SKY_Fried_and_Freeze_Dried_Chicken;Fried and Freeze Dried Chicken;;Empty description (localization key exists);
SKY_The_Army_of_our_Lord;The Army of Our Lord;;Empty description (localization key exists);
SKY_Kentuky_sharpshooters_tradition;Kentucky Sharpshooters Tradition;;Empty description (localization key exists);
SKY_have_the_other_candidates_disappeared;Have the Other Candidates Disappeared;;Empty description (localization key exists);
SKY_Host_Baseball_games;Host Baseball Games;;Empty description (localization key exists);
SKY_Abolish_Unions;Abolish Unions;;Empty description (localization key exists);
SKY_Cas_development;Cas Development;;Empty description (localization key exists);
SKY_better_Fighters;Better Fighters;;Empty description (localization key exists);
SKY_Establish_Royal_Guards;Establish Royal Guards;;Empty description (localization key exists);
SKY_Emergency_armement_factories;Emergency Armement Factories;;Empty description (localization key exists);
SKY_Expand_the_chicken_farms;Expand the Chicken Farms;;Empty description (localization key exists);
SKY_KFC_Rations;Kfc Rations;;Empty description (localization key exists);
SKY_Subsidize_legitimate_buisness;Subsidize Legitimate Buisness;;Empty description (localization key exists);
SKY_Canned_Fried_Chicken_Factory;Canned Fried Chicken Factory;;Empty description (localization key exists);
SKY_The_Indiana_question;The Indiana Question;;Empty description (localization key exists);
SKY_The_Ohio_question;The Ohio Question;;Empty description (localization key exists);
